Word,POS,count
",",",",4885
the,DT,4038
.,.,3828
of,IN,2319
to,TO,2161
a,DT,1874
in,IN,1554
and,CC,1505
*-1,-NONE-,1123
0,-NONE-,1099
*,-NONE-,965
for,IN,815
*T*-1,-NONE-,806
's,POS,761
*U*,-NONE-,744
$,$,718
The,DT,713
``,``,702
'','',684
is,VBZ,671
said,VBD,614
that,IN,513
on,IN,483
it,PRP,476
%,NN,445
by,IN,427
at,IN,402
with,IN,387
from,IN,386
million,CD,383
Mr.,NNP,375
*-2,-NONE-,372
was,VBD,367
are,VBP,367
be,VB,356
*T*-2,-NONE-,345
has,VBZ,338
as,IN,333
its,PRP$,332
n't,RB,325
an,DT,316
or,CC,291
will,MD,280
company,NN,260
he,PRP,230
--,:,230
which,WDT,224
have,VBP,221
U.S.,NNP,220
that,WDT,214
year,NN,212
they,PRP,210
says,VBZ,210
would,MD,209
were,VBD,197
In,IN,195
this,DT,184
their,PRP$,181
than,IN,180
about,IN,176
market,NN,176
;,:,171
who,WP,163
new,JJ,162
had,VBD,160
New,NNP,159
billion,CD,159
But,CC,157
but,CC,150
been,VBN,150
also,RB,147
trading,NN,144
:,:,142
stock,NN,136
other,JJ,134
not,RB,133
president,NN,133
*-3,-NONE-,130
program,NN,127
some,DT,122
his,PRP$,121
one,CD,121
could,MD,120
Corp.,NNP,117
share,NN,116
because,IN,116
years,NNS,115
shares,NNS,114
I,PRP,113
-RRB-,-RRB-,112
more,JJR,111
York,NNP,107
-LRB-,-LRB-,106
A,DT,105
two,CD,103
any,DT,103
's,VBZ,103
have,VB,101
It,PRP,100
*T*-3,-NONE-,97
