subslice,loss_top, f1_top, acc_top, loss_complement, f1_complement, acc_complement,
1,6.93063938617706,0.5405,0.575,0.00349666042893659,0.9756,0.975,
2,6.92716819047927,0.4444,0.5,0.00313469950924627,0.9756,0.975,
3,5.80598175525665,0.8182,0.8,0.00249339868605602,1,1,
4,5.15995675325393,0.9,0.9,0.00346018749405629,1,1,
5,4.88862484693527,0.8444,0.825,0.00278811242606025,1,1,
6,4.88653171062469,0.8444,0.825,0.00283384733484126,0.9756,0.975,
7,4.8595143854618,0.8444,0.825,0.00284505527815781,0.9756,0.975,
8,4.88299489021301,0.7727,0.75,0.00298341986490413,0.9756,0.975,
9,4.53313136100769,0.8444,0.825,0.00292256368265952,0.9756,0.975,
10,4.49976277351379,0.8511,0.825,0.00282869697548449,1,1,
11,4.49012911319732,0.8511,0.825,0.00296618603169918,0.9756,0.975,
12,4.15780839323997,0.8261,0.8,0.00317913280014181,0.9756,0.975,
13,3.91161683201789,0.8571,0.85,0.00294799638504628,1,1,
14,3.57949604094028,0.8837,0.875,0.00277462952362839,1,1,
15,2.7390239983797,0.8837,0.875,0.00292052641452755,0.9756,0.975,
16,2.4232017993927,0.9268,0.925,0.00309385312721133,0.9756,0.975,
17,2.17002756893634,0.9268,0.925,0.00304165574198123,0.9756,0.975,
18,2.16142345964908,0.9268,0.925,0.00330210862739477,0.9756,0.975,
19,2.09696833789348,0.9268,0.925,0.00335822756460402,0.9756,0.975,
20,2.12770383059978,0.878,0.875,0.00268848022824386,1,1,
21,2.01272770762443,0.9,0.9,0.00276068526727613,1,1,
22,1.86228865385055,0.9,0.9,0.00278968877682928,1,1,
23,1.69504468142986,0.9048,0.9,0.00300624191004317,1,1,
24,1.68202037364244,0.9302,0.925,0.00295282663137186,0.9756,0.975,
25,1.36678250133991,0.9302,0.925,0.00324278110929299,0.9756,0.975,
26,1.24348379299044,0.9302,0.925,0.00323667851625941,1,1,
27,1.02459330111742,0.9524,0.95,0.00294887724157888,1,1,
28,1.06018000096082,0.9524,0.95,0.00306298903888091,1,1,
29,1.0866435393691,0.9302,0.925,0.00352450259379111,0.9756,0.975,
30,1.01054997742176,0.9302,0.925,0.00333828298607841,0.9756,0.975,
31,1.03191568702459,0.9524,0.95,0.00292318925494328,1,1,
32,0.992602728307247,0.9302,0.925,0.00394448437145911,0.9756,0.975,
33,0.882849741727113,0.9302,0.925,0.00347338750725612,1,1,
34,0.827917763963341,0.9524,0.95,0.00284787821874488,1,1,
35,0.735596599057316,0.9302,0.925,0.00257290333684068,0.9744,0.975,
36,0.727270137518644,0.9302,0.925,0.00338297143753152,0.9756,0.975,
37,0.706248158589005,0.9524,0.95,0.00306801724946126,0.9756,0.975,
38,0.645081497728824,0.9302,0.925,0.00397593324305489,1,1,
39,0.647245720028877,0.9524,0.95,0.00285334863292519,1,1,
40,0.607995331287384,0.9524,0.95,0.00300878797133918,0.9756,0.975,
41,0.608946127817034,0.9524,0.95,0.00343273840553592,0.9756,0.975,
42,0.613391211256384,0.9524,0.95,0.00353578857902903,0.9756,0.975,
43,0.626945406198501,0.9524,0.95,0.00289855767914559,0.9756,0.975,
44,0.572193369269371,0.9524,0.95,0.00267144355166237,0.9756,0.975,
45,0.565123305656015,0.9524,0.95,0.00382340094074606,1,1,
46,0.538348188623786,0.9756,0.975,0.00336619980225805,0.9756,0.975,
47,0.456334099173545,0.9524,0.95,0.00298611908510793,0.9756,0.975,
48,0.450437470339238,0.9524,0.95,0.00312287821725476,0.9756,0.975,
49,0.411150358617305,0.9756,0.975,0.00325018078729044,0.9756,0.975,
50,0.423893310129642,1,1,0.00355592322011943,1,1,
51,0.423172486945986,0.9756,0.975,0.00307608325238106,0.95,0.95,
52,0.434332311153411,0.9756,0.975,0.00340058407164178,0.9756,0.975,
53,0.42033221758902,0.9756,0.975,0.00332824916404206,0.9756,0.975,
54,0.363772321492433,1,1,0.00323555002978537,0.9756,0.975,
55,0.352155844680964,1,1,0.00317478837678208,0.9756,0.975,
56,0.372036349028348,1,1,0.00339705392252653,0.9756,0.975,
57,0.359582476317882,0.9756,0.975,0.00309410910995211,0.9756,0.975,
58,0.372117642313241,0.9756,0.975,0.00317887577693909,0.9756,0.975,
59,0.329945972189307,0.9756,0.975,0.00312436631065793,0.9756,0.975,
60,0.343664137646555,0.9756,0.975,0.00344706008036155,0.9756,0.975,
61,0.330685203894972,0.9756,0.975,0.00357901880488498,0.9756,0.975,
62,0.330539152957499,1,1,0.00311548726313048,0.9756,0.975,
63,0.307766731828451,1,1,0.00351330323610454,1,1,
64,0.297111926600337,1,1,0.00322479878377635,1,1,
65,0.297283901832997,0.9756,0.975,0.00314614354283548,0.9756,0.975,
66,0.265446471981704,0.9756,0.975,0.00319619402580428,0.9756,0.975,
67,0.258295720443129,0.9756,0.975,0.00385928410833003,0.9756,0.975,
68,0.278263331390917,1,1,0.00355658074840903,1,1,
69,0.254444636404514,1,1,0.00315810460597276,1,1,
70,0.253603294491767,0.9756,0.975,0.00374954239669023,0.9756,0.975,
71,0.260055507533252,0.9756,0.975,0.00346169488329906,0.9756,0.975,
72,0.238467215560376,0.9756,0.975,0.00367391915642656,0.9756,0.975,
73,0.258585983887314,0.9756,0.975,0.00315373390913009,0.9756,0.975,
74,0.234673818573355,0.9756,0.975,0.003196332603693,0.9756,0.975,
75,0.244126923382282,1,1,0.00338691381330136,0.9756,0.975,
76,0.211435343138873,1,1,0.00287516348180361,1,1,
77,0.201483593322336,0.9756,0.975,0.00355348374432651,0.9756,0.975,
78,0.203765693120658,0.9756,0.975,0.00329203829460311,1,1,
79,0.208710469305515,0.9756,0.975,0.00346233106392901,0.9756,0.975,
80,0.189616994932293,0.9756,0.975,0.00317623562295921,0.9756,0.975,
81,0.174365506507456,0.9756,0.975,0.00339607003843411,1,1,
82,0.194737130776047,0.9756,0.975,0.00350682389398571,0.9756,0.975,
83,0.182371830567717,0.9756,0.975,0.00321057325345464,0.9744,0.975,
84,0.184112843126058,0.9756,0.975,0.00325712724588811,1,1,
85,0.176604723092168,0.9756,0.975,0.00341075801406987,0.9756,0.975,
86,0.18378070089966,0.9756,0.975,0.00321210309630259,1,1,
87,0.172294244170188,0.9756,0.975,0.00385899480897933,1,1,
88,0.162694060709327,0.9756,0.975,0.00371331576025113,1,1,
89,0.155590106267482,0.9756,0.975,0.00315623964706901,1,1,
90,0.144255177583545,0.9756,0.975,0.00319667447911342,1,1,
91,0.149636828107759,0.9756,0.975,0.00340933568077161,1,1,
92,0.136136284098029,1,1,0.00364576873835176,1,1,
93,0.12830786127597,1,1,0.00319928201497532,0.9756,0.975,
94,0.132044476922601,1,1,0.0034924379287986,0.9756,0.975,
