subslice,acc_top,acc_complement,f1_top,f1_complement,loss_top,loss_complement
10,1.0,1.0,1.0,1.0,0.8881174176931381,0.0033325574913760647
20,1.0,0.975,1.0,0.9743589743589743,0.2981761582195759,0.0028255351935513318
30,0.975,1.0,0.9743589743589743,1.0,0.20025360817089677,0.0034930697293020785
40,1.0,1.0,1.0,1.0,0.15509494533762336,0.003175097815983463
50,1.0,1.0,1.0,1.0,0.10159916436532512,0.004047846305184066
60,0.975,1.0,0.9743589743589743,1.0,0.08059307746589184,0.0036107561900280416
70,0.975,1.0,0.9743589743589743,1.0,0.059770405176095665,0.0040632851887494326
80,0.975,1.0,0.9743589743589743,1.0,0.059100822545588017,0.004254106344887987
90,0.975,1.0,0.9743589743589743,1.0,0.04571174655575305,0.004622381369699724
100,0.975,1.0,0.9743589743589743,1.0,0.037422450084704906,0.004978893528459594
