subslice,acc_top,acc_complement,f1_top,f1_complement,loss_top,loss_complement
1,0.925,1.0,0.9230769230769231,1.0,4.473632961511612,0.003189876937540248
2,0.95,1.0,0.9500000000000001,1.0,3.857905477285385,0.002558529478847049
3,0.975,1.0,0.9743589743589743,1.0,2.9322473257780075,0.0029735753778368235
4,0.975,1.0,0.9743589743589743,1.0,2.0830963850021362,0.002761849813396111
5,0.975,1.0,0.9743589743589743,1.0,1.9310384765267372,0.0028964338562218472
6,0.975,1.0,0.9743589743589743,1.0,1.3070218414068222,0.0029183269216446206
7,1.0,1.0,1.0,1.0,1.1349675357341766,0.003137817475362681
8,1.0,1.0,1.0,1.0,0.8997849673032761,0.0034896123688668013
9,1.0,1.0,1.0,1.0,1.0521499626338482,0.0028958961192984134
10,1.0,1.0,1.0,1.0,0.9111755397170782,0.0033810303430072963
11,1.0,1.0,1.0,1.0,0.7811673320829868,0.0030364821723196656
12,1.0,1.0,1.0,1.0,0.791182491928339,0.004054972596350126
13,1.0,1.0,1.0,1.0,0.7310441844165325,0.0033819660457083955
14,1.0,1.0,1.0,1.0,0.6606117496266961,0.003174665034748614
15,1.0,1.0,1.0,1.0,0.5146715566515923,0.003344633980304934
16,1.0,1.0,1.0,1.0,0.4535479247570038,0.0038276234117802233
17,1.0,1.0,1.0,1.0,0.41106361523270607,0.0031161663500824943
18,1.0,1.0,1.0,1.0,0.4170979652553797,0.003093051287578419
19,1.0,1.0,1.0,1.0,0.42344899475574493,0.0031409584044013172
20,1.0,1.0,1.0,1.0,0.3016572864726186,0.003209270696970634
21,1.0,1.0,1.0,1.0,0.2998814326710999,0.003423934744205326
22,1.0,1.0,1.0,1.0,0.28997241565957665,0.003489950468065217
23,1.0,1.0,1.0,1.0,0.30398386530578136,0.0037033932749181986
24,1.0,1.0,1.0,1.0,0.311806277371943,0.003693725106131751
25,1.0,1.0,1.0,1.0,0.25258103758096695,0.0034780357673298568
26,1.0,1.0,1.0,1.0,0.2684931233525276,0.003358917747391388
27,1.0,1.0,1.0,1.0,0.23916670307517052,0.003375603904714808
28,0.975,1.0,0.9743589743589743,1.0,0.20757250813767314,0.0036760196380782872
29,0.975,1.0,0.9743589743589743,1.0,0.21093741478398442,0.0033510025386931375
30,0.975,1.0,0.9743589743589743,1.0,0.2330141495913267,0.004161099117482081
31,0.975,1.0,0.9743589743589743,1.0,0.21975847822614014,0.0036989894142607227
32,1.0,1.0,1.0,1.0,0.22751106228679419,0.0037654565676348284
33,1.0,1.0,1.0,1.0,0.2013475359417498,0.0035877087066182867
34,0.975,1.0,0.9743589743589743,1.0,0.21350078517571092,0.003204367676516995
35,1.0,1.0,1.0,1.0,0.19637854071334004,0.0030279688944574445
36,1.0,1.0,1.0,1.0,0.20126071106642485,0.0033241172204725444
37,1.0,1.0,1.0,1.0,0.1821124772541225,0.003209972695913166
38,1.0,1.0,1.0,1.0,0.17605614149942994,0.003798814141191542
39,1.0,1.0,1.0,1.0,0.1679863347671926,0.003478077953332104
40,1.0,1.0,1.0,1.0,0.132619037758559,0.0034116206952603534
41,1.0,1.0,1.0,1.0,0.12048853910528123,0.003552792753907852
42,1.0,1.0,1.0,1.0,0.1367794913239777,0.003090266094659455
43,1.0,1.0,1.0,1.0,0.1396090977359563,0.0035925537813454866
44,1.0,1.0,1.0,1.0,0.13415985461324453,0.0034595580655150115
45,1.0,1.0,1.0,1.0,0.12728320760652423,0.003909336985088885
46,1.0,1.0,1.0,1.0,0.11566189327277243,0.004897085775155574
47,0.975,1.0,0.9743589743589743,1.0,0.12034060223959386,0.004270376040949486
48,1.0,1.0,1.0,1.0,0.10293245455250144,0.004043730339617468
49,1.0,1.0,1.0,1.0,0.11237272853031754,0.004045880152261816
50,1.0,1.0,1.0,1.0,0.10044139693491161,0.004385663487482816
51,1.0,1.0,1.0,1.0,0.10372106730937958,0.004110495705390349
52,1.0,1.0,1.0,1.0,0.10950794350355864,0.004287649207981303
53,1.0,1.0,1.0,1.0,0.1010343327652663,0.004088551155291498
54,1.0,1.0,1.0,1.0,0.11061486112885177,0.003851655565085821
55,1.0,1.0,1.0,1.0,0.09608271648176014,0.003711382596520707
56,1.0,1.0,1.0,1.0,0.10673931334167719,0.003585570157156326
57,1.0,1.0,1.0,1.0,0.10961773758754134,0.0035617148387245834
58,0.975,1.0,0.9743589743589743,1.0,0.08873818628489971,0.004301407912862487
59,1.0,1.0,1.0,1.0,0.08948242012411356,0.004139830241911113
60,0.975,1.0,0.9743589743589743,1.0,0.09015349496621639,0.004199663948384114
61,0.975,1.0,0.9743589743589743,1.0,0.08288341667503119,0.004590276104863733
62,0.975,1.0,0.9743589743589743,1.0,0.08206363581120968,0.003907221864210442
63,0.975,1.0,0.9743589743589743,1.0,0.07310619670897722,0.003927354235202074
64,0.975,1.0,0.9743589743589743,1.0,0.07514108018949628,0.004549048055196181
65,0.975,1.0,0.9743589743589743,1.0,0.07443619798868895,0.004349137656390667
66,0.975,1.0,0.9743589743589743,1.0,0.0807661929866299,0.004724125465145335
67,0.975,1.0,0.9743589743589743,1.0,0.07638097065500915,0.004585787479300052
68,0.975,1.0,0.9743589743589743,1.0,0.0779150421731174,0.004032630371511914
69,0.975,1.0,0.9743589743589743,1.0,0.07918113865889609,0.004544887036900036
70,1.0,0.975,1.0,0.9743589743589743,0.075850167311728,0.004253130609868094
71,1.0,1.0,1.0,1.0,0.0761483998503536,0.004363697429653257
72,1.0,0.975,1.0,0.9743589743589743,0.06585775909479707,0.00412641218281351
73,1.0,1.0,1.0,1.0,0.06805433798581362,0.004392049493617378
74,1.0,1.0,1.0,1.0,0.06496067112311721,0.004558500659186393
75,1.0,1.0,1.0,1.0,0.05783040192909539,0.004860259126871824
76,1.0,1.0,1.0,1.0,0.06371125031728297,0.003867630905006081
77,1.0,1.0,1.0,1.0,0.05973167484626174,0.00433155991777312
78,1.0,1.0,1.0,1.0,0.0528028579428792,0.004592566881910898
79,1.0,1.0,1.0,1.0,0.06207896047271788,0.0040331769559998065
80,0.975,1.0,0.9743589743589743,1.0,0.05027382099069655,0.005324132391251624
81,0.975,1.0,0.9743589743589743,1.0,0.048533555935136974,0.0041229609632864594
82,0.975,1.0,0.9743589743589743,1.0,0.045435366802848876,0.004241971459123306
83,0.975,0.975,0.9743589743589743,0.9743589743589743,0.04668611730448902,0.00382064537552651
84,1.0,1.0,1.0,1.0,0.05439798906445503,0.003936448018066585
85,1.0,0.975,1.0,0.9743589743589743,0.0514503848971799,0.004528963763732463
86,1.0,1.0,1.0,1.0,0.04940761812031269,0.004199130547931418
87,1.0,1.0,1.0,1.0,0.05087180307600647,0.0045573552924906835
88,1.0,1.0,1.0,1.0,0.049837236292660236,0.004157984410994686
89,1.0,1.0,1.0,1.0,0.044215015950612724,0.004304933565435931
90,1.0,1.0,1.0,1.0,0.04304348037112504,0.004881957254838198
91,1.0,1.0,1.0,1.0,0.04467355401720852,0.004737986921099946
92,1.0,1.0,1.0,1.0,0.04704891284927726,0.004734973568702117
93,1.0,1.0,1.0,1.0,0.0422147799981758,0.004495052548008971
94,0.975,0.975,0.9743589743589743,0.9743589743589743,0.04337868990842253,0.004659316560719162
95,0.975,1.0,0.9743589743589743,1.0,0.04709072958212346,0.004485469951760024
96,0.975,1.0,0.9743589743589743,1.0,0.043676195840816945,0.004682980725192465
97,0.975,1.0,0.9743589743589743,1.0,0.03504918154794723,0.004724737111246213
98,0.975,1.0,0.9743589743589743,1.0,0.04438469687011093,0.004598626139340922
99,0.975,1.0,0.9743589743589743,1.0,0.04077975230757147,0.004808629644685425
100,0.975,1.0,0.9743589743589743,1.0,0.03989944572094828,0.005105350690428168
101,0.975,1.0,0.9743589743589743,1.0,0.03537293593399227,0.00478999997721985
102,0.975,1.0,0.9743589743589743,1.0,0.038707585888914764,0.005047195212682709
103,0.975,1.0,0.9743589743589743,1.0,0.04141671536490321,0.004846727038966492
104,0.975,1.0,0.9743589743589743,1.0,0.03832662949571386,0.004678636993048713
105,0.975,1.0,0.9743589743589743,1.0,0.036537685664370656,0.005404623196227476
106,0.975,1.0,0.9743589743589743,1.0,0.03298209374770522,0.005091746017569676
107,0.975,1.0,0.9743589743589743,1.0,0.033088950091041625,0.005436558974906802
108,0.975,1.0,0.9743589743589743,1.0,0.03373932698741555,0.005323306599166244
109,0.975,1.0,0.9743589743589743,1.0,0.03128546883817762,0.005015085785998963
110,0.975,1.0,0.9743589743589743,1.0,0.030291960341855884,0.0052245656261220574
111,0.975,1.0,0.9743589743589743,1.0,0.03070771793136373,0.0055249554279726
112,0.975,1.0,0.9743589743589743,1.0,0.028781046101357788,0.005132777878316119
113,0.975,1.0,0.9743589743589743,1.0,0.030669483297970146,0.0052536929288180545
114,0.975,1.0,0.9743589743589743,1.0,0.03118680464103818,0.004885682647000067
115,0.975,1.0,0.9743589743589743,1.0,0.029751080612186342,0.005492010008310899
116,0.975,1.0,0.9743589743589743,1.0,0.027847396908327937,0.005442377383587882
117,1.0,1.0,1.0,1.0,0.030775664083193988,0.004912021977361292
118,0.975,1.0,0.9743589743589743,1.0,0.027829955506604165,0.00577877921750769
119,0.975,1.0,0.9743589743589743,1.0,0.028682524629402906,0.00537553611502517
120,0.975,1.0,0.9743589743589743,1.0,0.02837695088237524,0.005290427739964798
121,0.975,1.0,0.9743589743589743,1.0,0.02790137752890587,0.005145000526681542
