subslice,acc_top,acc_complement,f1_top,f1_complement,loss_top,loss_complement
10,0.975,0.975,0.975609756097561,0.9743589743589743,1.6756756082177162,0.0036046475870534778
20,1.0,0.975,1.0,0.9743589743589743,0.7453995496034622,0.0036296191974543035
30,1.0,0.975,1.0,0.9743589743589743,0.4491585437208414,0.004035346340970136
40,1.0,0.975,1.0,0.9743589743589743,0.2977012093178928,0.004011931625427678
50,1.0,0.975,1.0,0.9743589743589743,0.18656817078590393,0.004102562728803605
60,1.0,0.975,1.0,0.9743589743589743,0.14391012210398912,0.005045695521403104
70,1.0,0.95,1.0,0.9473684210526316,0.11637797113507986,0.004924385590129532
80,1.0,0.95,1.0,0.9473684210526316,0.09781717625446618,0.005304236838128418
90,1.0,0.95,1.0,0.9473684210526316,0.0829540928825736,0.005365985503885895
100,1.0,0.925,1.0,0.9189189189189189,0.07800508290529251,0.005333687484380789
