index,pro,non,diff,acc,f1,loss
318,-0.03666250000000001,0.223725,0.2603875,0.825,0.8205128205128205,6.142797768115997
31,0.169625,-0.016374999999999997,0.186,0.825,0.8205128205128205,6.2732996344566345
407,-0.12116250000000002,0.11468750000000001,0.23585000000000003,0.825,0.8205128205128205,6.021668046712875
400,-0.1361,0.2510625,0.3871625,0.825,0.8205128205128205,4.473443150520325
204,0.21018750000000003,-0.290575,0.5007625,0.85,0.8571428571428572,4.346337705850601
237,0.00475,-0.2122,0.21695,0.85,0.8333333333333334,5.746277928352356
645,0.23646250000000002,-0.29537500000000005,0.5318375000000001,0.85,0.8421052631578948,4.116508662700653
381,-0.8064500000000001,-0.9933125,0.18686249999999993,0.85,0.8571428571428572,6.611446499824524
562,0.4660375,-0.0725875,0.538625,0.875,0.8648648648648648,4.353184163570404
86,-0.002712500000000001,-0.377975,0.3752625,0.9,0.9,5.199371010065079
