subslice,acc_top,acc_complement,f1_top,f1_complement,loss_top,loss_complement
5,0.85,1.0,0.8571428571428572,1.0,5.093761295080185,0.0029789878462906927
10,0.85,1.0,0.8571428571428572,1.0,4.949722766876221,0.0033529693610034883
15,0.9,1.0,0.9047619047619048,1.0,2.9251928627490997,0.002648615001817234
20,0.9,1.0,0.9,1.0,2.1674710363149643,0.0027824140488519333
25,1.0,1.0,1.0,1.0,1.238018311560154,0.0034355890966253355
30,1.0,1.0,1.0,1.0,0.889518640935421,0.0029278440633788705
35,0.975,1.0,0.975609756097561,1.0,0.6893065236508846,0.0024891399079933763
40,0.975,1.0,0.975609756097561,1.0,0.5961692929267883,0.0030903029401088133
45,0.975,1.0,0.975609756097561,1.0,0.5413700398057699,0.002853889935067855
50,0.975,1.0,0.975609756097561,1.0,0.422031213529408,0.0026804084482137114
55,0.975,1.0,0.975609756097561,1.0,0.3632837045006454,0.003071424856898375
60,1.0,1.0,1.0,1.0,0.33842818439006805,0.003258954340708442
65,1.0,1.0,1.0,1.0,0.2975414553657174,0.0029025487456237897
70,1.0,1.0,1.0,1.0,0.21708572236821055,0.003185145033057779
75,1.0,1.0,1.0,1.0,0.19405896356329322,0.0037498910824069753
80,1.0,1.0,1.0,1.0,0.1710417582653463,0.003750331437913701
85,1.0,1.0,1.0,1.0,0.14277062704786658,0.0035330200917087495
90,1.0,1.0,1.0,1.0,0.1273097973316908,0.0037657776701962575
95,1.0,1.0,1.0,1.0,0.10905030858702958,0.0032170671911444515
100,1.0,1.0,1.0,1.0,0.09503656532615423,0.002966267493320629
105,1.0,1.0,1.0,1.0,0.09219229780137539,0.0037215335469227284
110,1.0,1.0,1.0,1.0,0.0822376050055027,0.0032718118018237874
115,1.0,1.0,1.0,1.0,0.07886121398769319,0.003611319014453329
120,1.0,1.0,1.0,1.0,0.06990167940966785,0.003449595984420739
125,1.0,1.0,1.0,1.0,0.08132396684959531,0.00391809392021969
130,1.0,1.0,1.0,1.0,0.06334103608969599,0.0034022001054836437
135,1.0,1.0,1.0,1.0,0.07145008817315102,0.0038776317524025217
140,1.0,1.0,1.0,1.0,0.06761082913726568,0.0031814494577702135
145,1.0,1.0,1.0,1.0,0.054246294777840376,0.0034274155186722055
150,1.0,1.0,1.0,1.0,0.055228309938684106,0.0039668807439738885
155,1.0,1.0,1.0,1.0,0.04478830168955028,0.0040782790601952
160,1.0,1.0,1.0,1.0,0.04426727490499616,0.003806993176112883
165,1.0,1.0,1.0,1.0,0.038059086073189974,0.004138150790822692
170,1.0,1.0,1.0,1.0,0.038631552015431225,0.003942215509596281
175,1.0,1.0,1.0,1.0,0.03557984228245914,0.004290181153919548
180,1.0,1.0,1.0,1.0,0.034753363113850355,0.0037882958131376654
185,1.0,1.0,1.0,1.0,0.03203091362956911,0.0039455792284570634
190,1.0,1.0,1.0,1.0,0.03142260212916881,0.003963554379879497
195,1.0,1.0,1.0,1.0,0.03331663925200701,0.004137579613598064
200,1.0,1.0,1.0,1.0,0.027504743076860905,0.004065441258717328
205,1.0,1.0,1.0,1.0,0.02687501162290573,0.003909668710548431
210,1.0,1.0,1.0,1.0,0.027005363488569856,0.004968557666870765
215,1.0,1.0,1.0,1.0,0.02147995203267783,0.004680501151597127
220,1.0,1.0,1.0,1.0,0.02250822714995593,0.00434518103429582
225,1.0,1.0,1.0,1.0,0.022585115220863372,0.0050878684560302645
230,1.0,1.0,1.0,1.0,0.020965082687325776,0.004023205299745314
235,1.0,1.0,1.0,1.0,0.018977976171299815,0.004429441032698378
240,1.0,1.0,1.0,1.0,0.0198981300345622,0.004807448945939541
245,1.0,1.0,1.0,1.0,0.01958215655758977,0.005002375692129135
250,1.0,1.0,1.0,1.0,0.019115236587822437,0.004310640404582955
255,1.0,1.0,1.0,1.0,0.016834643087349832,0.0051119637209922075
260,1.0,1.0,1.0,1.0,0.016123873414471745,0.004588197509292513
265,1.0,1.0,1.0,1.0,0.017010888899676502,0.004948934321873821
270,1.0,1.0,1.0,1.0,0.016153630684129894,0.005004070306313224
275,1.0,1.0,1.0,1.0,0.0147420191206038,0.004587375704431906
280,1.0,1.0,1.0,1.0,0.014242650184314698,0.004700165955000557
285,1.0,1.0,1.0,1.0,0.012970528390724212,0.005253908224403858
290,1.0,1.0,1.0,1.0,0.013304122723639011,0.005344020522898063
295,1.0,1.0,1.0,1.0,0.0134279255871661,0.005446151131764054
300,1.0,1.0,1.0,1.0,0.012957490747794509,0.005246893822913989
305,1.0,1.0,1.0,1.0,0.011610734392888844,0.0062348730862140656
310,1.0,1.0,1.0,1.0,0.012729987851344049,0.005689163488568738
