subslice,acc_top,acc_complement,f1_top,f1_complement,loss_top,loss_complement
5,0.75,0.975,0.7222222222222223,0.9743589743589743,4.899503111839294,0.0037219121295493096
10,0.825,0.975,0.8108108108108107,0.9743589743589743,4.092971712350845,0.0035933067701989785
15,0.825,0.975,0.8108108108108107,0.9743589743589743,3.362226501107216,0.004400237012305297
20,0.775,0.975,0.7567567567567567,0.9743589743589743,2.400278076529503,0.004746298887766898
25,0.875,0.975,0.8648648648648648,0.9743589743589743,2.1855615973472595,0.004092245319043286
30,0.9,0.975,0.8947368421052632,0.9743589743589743,1.8714876100420952,0.003437301522353664
35,0.9,0.975,0.8947368421052632,0.9743589743589743,1.4077539555728436,0.004468611849006265
40,0.9,0.975,0.9,0.9743589743589743,1.1479667201638222,0.004103927232790738
45,0.925,0.975,0.9268292682926829,0.9743589743589743,0.9666437767446041,0.003852001784252934
50,0.9,0.975,0.9,0.9743589743589743,0.8210735879838467,0.0038059882208472118
55,0.95,0.975,0.9473684210526316,0.9743589743589743,0.6847843527793884,0.00429846765473485
60,0.9,0.975,0.888888888888889,0.9743589743589743,0.6270073261111975,0.004693321112426929
65,0.875,0.975,0.8648648648648648,0.9743589743589743,0.6065219566226006,0.003955496285925619
70,0.925,0.975,0.9189189189189189,0.9743589743589743,0.5045326072722673,0.0038646280590910465
75,0.925,0.975,0.9189189189189189,0.9743589743589743,0.389054786413908,0.004265278766979463
80,0.875,0.975,0.8571428571428571,0.9743589743589743,0.27960631530731916,0.005493361910339445
85,0.85,0.975,0.8235294117647058,0.9743589743589743,0.2809083927422762,0.004413756505527999
90,0.9,1.0,0.888888888888889,1.0,0.24815207347273827,0.00412454767501913
95,0.9,1.0,0.888888888888889,1.0,0.1905159680172801,0.0041224455198971555
100,0.9,0.975,0.888888888888889,0.9743589743589743,0.17063528392463923,0.004084872372914106
105,0.9,1.0,0.888888888888889,1.0,0.14275763370096684,0.004321361062466167
110,0.9,1.0,0.888888888888889,1.0,0.1297504915855825,0.004140171542530879
115,0.925,1.0,0.9189189189189189,1.0,0.1207684138789773,0.004353101860033348
120,0.925,1.0,0.9189189189189189,1.0,0.1048231665045023,0.005119001973071136
125,0.9,1.0,0.888888888888889,1.0,0.09641296742483974,0.005372753454139456
130,0.925,1.0,0.9189189189189189,1.0,0.089420260861516,0.004427582418429665
135,0.925,1.0,0.9189189189189189,1.0,0.08583447057753801,0.004728886633529328
140,0.925,1.0,0.9189189189189189,1.0,0.07910555507987738,0.004964423234923743
145,0.925,1.0,0.9189189189189189,1.0,0.07691623736172915,0.005833595263538882
150,0.925,1.0,0.9189189189189189,1.0,0.06658536987379193,0.005254011484794319
155,0.925,1.0,0.9189189189189189,1.0,0.06402518367394805,0.0051196284766774625
160,0.95,1.0,0.9473684210526316,1.0,0.057073757285252213,0.004881983884843066
165,0.95,1.0,0.9473684210526316,1.0,0.05562083935365081,0.004694625124102458
170,0.925,1.0,0.9189189189189189,1.0,0.050230870954692364,0.005391773505834863
175,0.95,1.0,0.9473684210526316,1.0,0.04926965245977044,0.005621008749585599
180,0.925,1.0,0.9189189189189189,1.0,0.049423673655837774,0.005681279813870788
185,0.925,1.0,0.9189189189189189,1.0,0.04750857222825289,0.005760469677625224
190,0.925,1.0,0.9189189189189189,1.0,0.04048396786674857,0.005701439658878371
195,0.95,1.0,0.9473684210526316,1.0,0.039451094111427665,0.005510252027306706
200,0.95,1.0,0.9473684210526316,1.0,0.03774222149513662,0.00580717041157186
205,0.95,1.0,0.9473684210526316,1.0,0.03614789014682174,0.006530088459840044
210,0.925,0.975,0.9189189189189189,0.9743589743589743,0.033612651750445366,0.005260539284790866
215,0.925,1.0,0.9189189189189189,1.0,0.03449830901809037,0.00603862467687577
220,0.95,1.0,0.9473684210526316,1.0,0.030914621078409255,0.006632650853134692
225,0.95,1.0,0.9473684210526316,1.0,0.029518841532990336,0.00615164460032247
230,0.925,1.0,0.9189189189189189,1.0,0.03209094575140625,0.006240356684429571
235,0.925,1.0,0.9189189189189189,1.0,0.027196810115128756,0.006616804676013999
240,0.925,1.0,0.9189189189189189,1.0,0.029686151421628892,0.006345821573631838
245,0.95,1.0,0.9473684210526316,1.0,0.026605018530972302,0.007163222646340728
250,0.95,1.0,0.9473684210526316,1.0,0.027691895957104862,0.0073580747994128615
255,0.95,1.0,0.9473684210526316,1.0,0.024055802961811423,0.006256425869651139
260,0.975,1.0,0.9743589743589743,1.0,0.022683371789753437,0.00686459950520657
265,0.95,1.0,0.9473684210526316,1.0,0.02242095023393631,0.006475606438471004
270,0.95,1.0,0.9473684210526316,1.0,0.019770425045862794,0.00634188370895572
275,0.95,1.0,0.9473684210526316,1.0,0.020166874630376697,0.008459396020043641
280,0.95,1.0,0.9473684210526316,1.0,0.023697735858149827,0.00818315875949338
285,0.95,1.0,0.9473684210526316,1.0,0.022413186088670045,0.0074026026704814285
290,0.975,1.0,0.9743589743589743,1.0,0.019445337122306228,0.007357806258369237
295,0.975,1.0,0.9743589743589743,1.0,0.020969233941286802,0.0068932090944144875
300,0.975,1.0,0.9743589743589743,1.0,0.01693435769993812,0.009572720038704574
305,0.975,1.0,0.9743589743589743,1.0,0.017427731363568455,0.007459009357262403
310,0.975,1.0,0.9743589743589743,1.0,0.016435453959275037,0.007906028942670673
315,0.975,1.0,0.9743589743589743,1.0,0.01746909925714135,0.007892508117947727
320,0.975,1.0,0.9743589743589743,1.0,0.0144770173355937,0.009443607181310654
325,0.975,1.0,0.9743589743589743,1.0,0.017241873196326196,0.008728779124794528
330,0.975,1.0,0.9743589743589743,1.0,0.015227392199449241,0.009036045637913048
335,0.975,0.975,0.9743589743589743,0.9743589743589743,0.015842305147089064,0.009515209181699902
340,0.975,1.0,0.9743589743589743,1.0,0.014399305975530297,0.008147456625010818
345,0.975,1.0,0.9743589743589743,1.0,0.014644549635704607,0.00944395741680637
350,0.975,1.0,0.9743589743589743,1.0,0.014813273097388446,0.009942168253473938
355,0.975,0.975,0.9743589743589743,0.9743589743589743,0.014097896695602685,0.009236753481673077
360,0.975,0.975,0.9743589743589743,0.9743589743589743,0.013611099653644487,0.010571485792752355
