subslice,acc_top,acc_complement,f1_top,f1_complement,loss_top,loss_complement
5,0.775,1.0,0.7692307692307692,1.0,4.885631442070007,0.0033040622802218422
10,0.9,1.0,0.8947368421052632,1.0,3.1447282880544662,0.003150071672280319
15,0.875,1.0,0.8717948717948718,1.0,2.8256314992904663,0.0033468241163063794
20,0.875,1.0,0.8780487804878048,1.0,2.148244634270668,0.0037899658491369337
25,0.925,1.0,0.9230769230769231,1.0,1.6212241798639297,0.003101124966633506
30,0.975,1.0,0.9743589743589743,1.0,1.1546479240059853,0.0042674636642914265
35,0.95,1.0,0.9500000000000001,1.0,0.814508069306612,0.0034092940913978964
40,1.0,1.0,1.0,1.0,0.6727769002318382,0.003328247577883303
45,1.0,1.0,1.0,1.0,0.574699480086565,0.003493615804472938
50,1.0,1.0,1.0,1.0,0.401939389295876,0.0031774335220688954
55,1.0,1.0,1.0,1.0,0.2987742107361555,0.003474184777587652
60,1.0,1.0,1.0,1.0,0.26555997505784035,0.004091539711225778
65,1.0,1.0,1.0,1.0,0.24363208375871181,0.004000453831395134
70,1.0,1.0,1.0,1.0,0.20533753372728825,0.0037327757017919794
75,1.0,1.0,1.0,1.0,0.1945639168843627,0.003627865415182896
80,1.0,1.0,1.0,1.0,0.16195204062387347,0.0034481642942409962
85,1.0,1.0,1.0,1.0,0.1260508270934224,0.0034093285794369876
90,1.0,1.0,1.0,1.0,0.10910083912312984,0.003741755266673863
95,1.0,1.0,1.0,1.0,0.10350006795488298,0.0038776243454776704
100,0.95,1.0,0.9473684210526316,1.0,0.09563483064994216,0.0038010244170436636
105,0.975,1.0,0.9743589743589743,1.0,0.08245729841291904,0.004021151748020202
110,0.975,1.0,0.9743589743589743,1.0,0.06891552987508476,0.0038734170084353536
115,0.975,1.0,0.9743589743589743,1.0,0.06695676501840353,0.004396131276735105
120,0.975,1.0,0.9743589743589743,1.0,0.057804554933682084,0.004026228503789753
125,0.975,1.0,0.9743589743589743,1.0,0.05565851856954396,0.004333049975684844
130,0.975,1.0,0.9743589743589743,1.0,0.054056277265772223,0.0048410801973659545
135,0.975,1.0,0.9743589743589743,1.0,0.04680668842047453,0.003866715924232267
140,0.975,1.0,0.9743589743589743,1.0,0.04258999694138765,0.004712440975708887
145,0.975,1.0,0.9743589743589743,1.0,0.03371179266832769,0.0039739616913720965
150,0.975,1.0,0.9743589743589743,1.0,0.034327323315665126,0.004091179958777502
155,0.975,1.0,0.9743589743589743,1.0,0.029016339918598533,0.004388224639114924
160,0.975,1.0,0.9743589743589743,1.0,0.029198121977970004,0.005454208614537492
165,0.975,1.0,0.9743589743589743,1.0,0.0266251073917374,0.00465898826951161
170,0.975,1.0,0.9743589743589743,1.0,0.02698028925806284,0.004851727688219398
175,1.0,1.0,1.0,1.0,0.027314453735016286,0.004899250372545794
180,1.0,1.0,1.0,1.0,0.02544628910254687,0.0044308821961749345
