word,embedding,score,diff
companion,-0.069,0.0,0.069
toast,0.42,0.2,0.22
lounge,0.197,-0.6,0.797
watch,-0.44,-0.2,0.24
haul,0.101,0.7,0.599
combination,0.215,0.0,0.215
majesty,-0.051,0.0,0.051
extinguish,-0.64,-0.2,0.44
nutrient,0.362,0.0,0.362
bark,0.132,0.4,0.268
rest,0.16,-0.8,0.96
hold,-0.187,0.2,0.387
drainage,0.177,-0.3,0.477
chill,-0.079,-0.6,0.521
time,-0.095,0.0,0.095
drink,0.279,0.2,0.079
eat,0.052,0.4,0.348
journey,-0.389,0.6,0.989
surf,0.395,0.7,0.305
shipment,0.283,0.4,0.117
measure,0.183,0.1,0.083
devour,-0.308,0.6,0.908
cutlery,0.122,0.0,0.122
catch,0.149,0.7,0.551
drive,-0.295,0.8,1.095
cooling,0.106,-0.5,0.606
sail,0.045,0.6,0.555
flutter,0.047,0.5,0.453
moo,-0.356,0.1,0.456
descend,-0.067,-0.4,0.333
commute,0.002,0.2,0.198
score,-0.007,0.5,0.507
indulgence,-0.001,-0.3,0.299
cutting,-0.23,0.6,0.83
containment,0.243,-0.4,0.643
communication,0.316,0.2,0.116
transportation,0.066,0.3,0.234
glide,-0.069,0.0,0.069
slice,-0.185,0.6,0.785
drying,0.248,-0.5,0.748
tote,-0.346,0.3,0.646
nurture,0.289,0.1,0.189
breakfast,0.4,0.0,0.4
cut,-0.208,0.6,0.808
throw,0.06,0.5,0.44
brush,0.245,0.3,0.055
competition,0.231,0.7,0.469
signal,0.042,0.3,0.258
carry,0.038,0.5,0.462
mobility,0.031,0.4,0.369
dine,-0.188,0.1,0.288
conformity,-0.132,-0.7,0.568
Thanksgiving,0.308,0.0,0.308
comfort,0.092,-0.6,0.692
call,-0.627,0.3,0.927
soar,-0.55,0.4,0.95
pause,0.11,-0.6,0.71
input,-0.136,0.1,0.236
hygiene,0.538,0.0,0.538
click,-0.627,0.5,1.127
health,0.332,0.1,0.232
entertainment,0.537,0.2,0.337
halt,0.543,-0.3,0.843
crunch,0.214,0.4,0.186
softness,0.244,-0.4,0.644
control,-0.029,0.4,0.429
loyalty,0.048,-0.1,0.148
formality,0.093,-0.2,0.293
individuality,0.147,0.1,0.047
gallop,-0.303,0.7,1.003
protection,-0.062,-0.3,0.238
gathering,-0.067,-0.2,0.133
pattern,0.017,-0.1,0.117
walk,-0.646,0.3,0.946
productivity,0.286,0.6,0.314
purr,-0.11,-0.6,0.49
sip,0.125,-0.3,0.425
decoration,0.208,-0.3,0.508
bite,-0.104,0.5,0.604
accessory,0.179,-0.1,0.279
reflection,0.053,-0.2,0.253
rinse,-0.027,0.2,0.227
uncork,-0.101,0.5,0.601
skate,0.218,0.6,0.382
grace,-0.025,-0.1,0.075
support,-0.079,-0.2,0.121
scoop,0.113,0.4,0.287
tick,0.234,0.3,0.066
flight,-0.208,0.7,0.908
type,0.132,0.4,0.268
read,-0.199,0.2,0.399
bake,0.015,0.5,0.485
navigation,-0.007,0.0,0.007
poke,0.163,0.4,0.237
descent,-0.164,-0.5,0.336
voyage,-0.304,0.6,0.904
heating,0.058,0.2,0.142
thrill,0.231,0.6,0.369
consume,0.209,0.3,0.091
fly,-0.307,0.7,1.007
hug,0.178,0.4,0.222
knowledge,0.059,-0.3,0.359
shield,0.068,-0.5,0.568
transit,-0.216,0.1,0.316
solitude,0.215,-0.8,1.015
heat,0.346,0.2,0.146
fasten,-0.457,0.5,0.957
celebration,-0.03,0.6,0.63
hit,-0.304,0.7,1.004
flush,0.117,0.2,0.083
adventure,0.264,0.8,0.536
peel,0.19,0.6,0.41
song,-0.061,0.1,0.161
elegance,0.036,-0.6,0.636
recreation,0.531,0.0,0.531
roar,-0.186,0.5,0.686
trumpet,0.435,0.2,0.235
container,0.312,-0.7,1.012
aroma,0.118,-0.4,0.518
childhood,0.093,-0.7,0.793
measurement,0.194,0.1,0.094
sanitation,0.61,-0.2,0.81
vibration,0.168,0.0,0.168
dry,0.367,-0.1,0.467
growth,-0.12,0.3,0.42
safety,0.245,-0.2,0.445
swing,-0.062,0.4,0.462
crave,-0.256,0.3,0.556
ride,-0.429,0.6,1.029
sharpness,-0.489,-0.1,0.389
stride,-0.034,0.6,0.634
graze,-0.06,0.2,0.26
excitement,0.203,0.5,0.297
sit,0.15,-0.7,0.85
indulge,0.048,0.1,0.052
acidity,-0.136,-0.2,0.064
prong,-0.13,0.1,0.23
chop,-0.074,0.7,0.774
munch,0.156,0.2,0.044
person,-0.251,0.0,0.251
bicycle,0.223,0.4,0.177
car,0.256,0.6,0.344
motorcycle,0.196,0.7,0.504
airplane,0.424,0.7,0.276
bus,0.201,0.6,0.399
train,0.264,0.7,0.436
truck,0.439,0.6,0.161
boat,0.343,0.4,0.057
traffic light,-0.253,-0.3,0.047
fire hydrant,-0.399,-0.2,0.199
stop sign,-0.338,-0.1,0.238
parking meter,-0.221,-0.2,0.021
bench,0.207,-0.7,0.907
bird,0.095,0.1,0.005
cat,0.208,0.1,0.108
dog,0.324,0.1,0.224
horse,0.028,0.1,0.072
sheep,0.52,0.0,0.52
cow,0.419,0.0,0.419
elephant,0.372,0.1,0.272
bear,0.266,0.2,0.066
zebra,0.272,0.1,0.172
giraffe,-0.052,0.1,0.152
backpack,0.251,-0.3,0.551
umbrella,0.242,-0.6,0.842
handbag,0.054,-0.4,0.454
tie,0.117,-0.4,0.517
suitcase,0.403,-0.3,0.703
frisbee,0.141,0.2,0.059
skis,0.528,0.9,0.372
snowboard,0.328,0.8,0.472
sports ball,0.044,0.6,0.556
kite,0.124,0.7,0.576
baseball bat,-0.07,0.6,0.67
baseball glove,-0.001,0.5,0.501
skateboard,0.353,0.9,0.547
surfboard,0.513,0.9,0.387
tennis racket,-0.075,0.7,0.775
bottle,0.144,-0.2,0.344
wine glass,0.106,-0.3,0.406
cup,-0.009,0.0,0.009
fork,0.056,0.0,0.056
knife,0.125,0.1,0.025
spoon,0.296,0.0,0.296
bowl,-0.117,0.0,0.117
